epoch;acc;loss;lr;val_acc;val_loss
0;0.928334988781655;0.27466195634351936;0.001;0.9358164982536873;0.22996833055983973
1;0.9373031438345115;0.21290401477892099;0.001;0.9358164982536873;0.2022665092331358
2;0.9394091544196815;0.19185557483299412;0.001;0.9376392708277682;0.19913567186817463
3;0.9440733310147282;0.1754783057110939;0.001;0.9441372363419731;0.16998761880943794
4;0.9458496385642099;0.16675925604991165;0.001;0.9473287821119372;0.16259523852079777
5;0.9475409789403954;0.15883018043867983;0.001;0.9470630806315441;0.15668264365074897
6;0.9491090420953542;0.15306622319294816;0.001;0.9442818270485921;0.1905872925825297
7;0.9500593296417124;0.14867361500811854;0.001;0.9522141830409554;0.14205405443426508
8;0.9527982256951034;0.1389891106212632;0.001;0.9540522137468805;0.13458511559411163
9;0.953034088062962;0.138235377699674;0.001;0.9546239080319878;0.1356337388078473
10;0.9549568378027777;0.1315427698834956;0.001;0.9559028767952987;0.13077402351213976
11;0.9557711102171136;0.1282259899478955;0.001;0.9565816274934952;0.12400465191320609
12;0.9567035274313465;0.12544644880143102;0.001;0.956655772941612;0.12431720854671857
13;0.9579814339872382;0.12101636208664954;0.001;0.959606930398658;0.117726806604933
14;0.9592525704415201;0.1170346187461219;0.001;0.9592432055157862;0.11743540978462035
15;0.9595289955842027;0.11618723537800547;0.001;0.9613811175028483;0.11255574448822513
16;0.9608028860259031;0.11211029517435699;0.001;0.9606374882357519;0.11209442695891887
17;0.9606496897886565;0.11207656938096751;0.001;0.9622267186388916;0.10860462718034215
18;0.9609876096059005;0.11136455617110272;0.001;0.9616143221163568;0.10935578409952061
19;0.9625097604091195;0.10651702055053772;0.001;0.9624832834704029;0.1102880142294218
20;0.9633322885028883;0.1037129117458395;0.001;0.9634817450910023;0.10414545739778934
21;0.9639491448473197;0.10162333448043177;0.001;0.9635456139703642;0.10335839012095845
22;0.9637326674648459;0.10218763915567104;0.001;0.9624515365907153;0.11268562907582122
23;0.9643367374562762;0.10044739529379858;0.001;0.9603514663236843;0.11836573213616906
24;0.9648762675762682;0.09879004821607948;0.001;0.9640818066370498;0.10545759528015912
25;0.9655171561721526;0.0967098752030765;0.001;0.9641189124242444;0.10198710796891683
26;0.9664130331729148;0.09398436133580901;0.001;0.9653433949589426;0.09634446159346413
27;0.9661282552514829;0.09455656959326623;0.001;0.9641166603393329;0.10248123031611964
28;0.9666240898321441;0.09260181404120849;0.001;0.9663114669062103;0.09547319198129943
29;0.9672036486870411;0.09096873228142902;0.001;0.9652800295593579;0.10051774690472746
30;0.9678205730300693;0.08952097192738494;0.001;0.966480660125095;0.09489852917381421
31;0.9684311706592523;0.08762127122627462;0.001;0.963756389694764;0.10001461604725415
32;0.9684784873924983;0.08735331255677901;0.001;0.9668142695968893;0.09189869719379731
33;0.9680493805213799;0.08839872484021323;0.001;0.9666969485460852;0.09681933681599865
34;0.969752772703909;0.08373468198901396;0.001;0.9657331985675045;0.09662070435624288
35;0.9687137349412904;0.08664975234110812;0.001;0.9666764477838188;0.09306936062069845
36;0.9701224042400954;0.08264987322552207;0.001;0.9654395539341992;0.10463780145128466
37;0.9727456667896041;0.0746591545428097;0.000100000005;0.9692465638689716;0.08709853243610433
38;0.973185395094648;0.0732587847609788;0.000100000005;0.9694333455135905;0.08674079617698684
39;0.9732126537840794;0.07319982468228578;0.000100000005;0.9692911634109503;0.08798674169842524
40;0.9732844234397783;0.07291367668994285;0.000100000005;0.969517042113119;0.08651199892630913
41;0.9734560596854411;0.07258712780500899;0.000100000005;0.9695778310147254;0.08681689066286305
42;0.9735386836945947;0.07233080043993724;0.000100000005;0.9693911282868584;0.08726820198659477
43;0.9735969001769008;0.07218124148290711;0.000100000005;0.9695344486410482;0.08621130181607602
44;0.9737367502072962;0.07174179386643817;0.000100000005;0.9694490182996301;0.08614775843039926
45;0.9737602938397186;0.07171648724018453;0.000100000005;0.9697998545248696;0.08473124557298761
46;0.9738326168388982;0.07132133179258314;0.000100000005;0.9693280737515321;0.08889477592565126
47;0.9738141380084534;0.07145465519970573;0.000100000005;0.9698284175357543;0.08664863260875222
48;0.9739235417461092;0.07113600701788955;0.000100000005;0.9698112814278801;0.08632525329598943
49;0.9740271494977674;0.07095975287155913;0.000100000005;0.9699000514493947;0.08732832228864422
