,,Overall_acurracy,Macro_acurracy,Iou
image 55,depth4,0.9576416015625,0.8865142923494896,0.6015660180881929
image 55,depth5,0.9691314697265625,0.9168401248884898,0.7381076889686828
image 55,depth6,0.967559814453125,0.912194397773709,0.7531721719852937
image 55,depth7,0.9830322265625,0.9562034567355736,0.8639847266698987
image 55,depth8,0.9756927490234375,0.9669940494809818,0.8258877639528744
image 55,depth9,0.9445953369140625,0.9306184895189281,0.6766240721324408
image 55,depth10,0.94586181640625,0.8852321245287141,0.6259267982693343
image 55,depth11,0.9560089111328125,0.8187878323754045,0.6222479474627576
image 55,depth12,0.977996826171875,0.785343307811799,0.6541319719058609
image 55,depth13,0.964813232421875,0.6077446786338282,0.4767220962620427
image 55,depth14,0.9742889404296875,0.5938376420459762,0.49728752128437415
image 55,depth15,0.9822998046875,0.6527084056619472,0.4974936557721197
image 55,depth16,0.9930572509765625,0.5,0.3310190836588542
image 55,depth17,0.9999237060546875,0.5,0.3333079020182292
image 56,depth1,0.969085693359375,0.3333333333333333,0.323028564453125
image 56,depth2,0.9543609619140625,0.3333333333333333,0.3181203206380208
image 56,depth3,0.97296142578125,0.42781345032212964,0.409470099737212
image 56,depth4,0.9630584716796875,0.4370916316442565,0.40247903313478406
image 56,depth5,0.94873046875,0.4338463843448149,0.4072953828086692
image 56,depth6,0.9578704833984375,0.4752219254944867,0.3827905855828018
image 56,depth7,0.9411773681640625,0.3138838424703194,0.3137257893880208
image 56,depth8,0.954498291015625,0.7660673934134486,0.4654177349023247
image 56,depth9,0.9415130615234375,0.620373749662174,0.4415103255575876
image 56,depth10,0.9452056884765625,0.640972648644783,0.41718936503759324
image 56,depth11,0.9456939697265625,0.6484325687243894,0.3644188008151288
image 56,depth12,0.9552764892578125,0.5939858632876476,0.3619309317603822
image 56,depth13,0.9607696533203125,0.3462291857732323,0.32517448485514505
image 56,depth14,0.966644287109375,0.3333333333333333,0.3222147623697917
image 56,depth15,0.9547271728515625,0.3333333333333333,0.3182423909505208
image 57,depth1,0.991302490234375,0.5,0.3304341634114583
image 57,depth2,0.9938812255859375,0.3333333333333333,0.3312937418619792
image 57,depth3,0.9876251220703125,0.4157162394821308,0.3902707271094486
image 57,depth4,0.9812164306640625,0.9919771431643625,0.4290945944062164
image 57,depth5,0.9728240966796875,0.6577516951181616,0.3414399429110158
image 57,depth6,0.9695892333984375,0.8410171312891994,0.5124953861631026
image 57,depth7,0.9636077880859375,0.7760801060753623,0.522140060498852
image 57,depth8,0.9549713134765625,0.8369493583795912,0.6433179275363908
image 57,depth9,0.95953369140625,0.8622948584229367,0.6539305841216648
image 57,depth10,0.954620361328125,0.9241325250131633,0.6573906154686614
image 57,depth11,0.95733642578125,0.9147865865501581,0.6138921526269789
image 57,depth12,0.9553985595703125,0.9424557168330495,0.6129232750598855
image 57,depth13,0.9616546630859375,0.9368880252878459,0.6393689157675984
image 57,depth14,0.97222900390625,0.5692627145825316,0.510094848743651
image 57,depth15,0.9746856689453125,0.520255836449503,0.48826472734813325
image 57,depth16,0.9896087646484375,0.6316940189951431,0.5305026963412384
image 57,depth17,0.9915771484375,0.5440855355163569,0.4875780411194424
image 57,depth18,0.9823760986328125,0.3333333333333333,0.3274586995442708
image 57,depth19,0.998504638671875,0.5,0.3328348795572917
image 58,depth1,0.9808502197265625,0.5,0.3269500732421875
image 58,depth2,0.942474365234375,0.3333333333333333,0.3141581217447917
image 58,depth3,0.94891357421875,0.4302028550297223,0.4125521408235242
image 58,depth4,0.939117431640625,0.39585498412236303,0.3824139995854874
image 58,depth5,0.9619903564453125,0.48893659314113586,0.47795190002738613
image 58,depth6,0.9425048828125,0.4808663807155887,0.38725825731450025
image 58,depth7,0.9342193603515625,0.7460216013298747,0.365960765478597
image 58,depth8,0.930908203125,0.7158509119053064,0.4120232608026466
image 58,depth9,0.9243011474609375,0.5842459400927127,0.3901296682780652
image 58,depth10,0.906219482421875,0.6369424279797878,0.3214684008023391
image 58,depth11,0.9034881591796875,0.5425115797837378,0.33304153717579843
image 58,depth12,0.90478515625,0.9520788855269019,0.3228284188113069
image 58,depth13,0.9074859619140625,0.5027769760864262,0.3027132064648174
image 58,depth14,0.936737060546875,0.5956274051236184,0.37506487644320363
image 58,depth15,0.939056396484375,0.49503532408183704,0.34491469870465424
image 58,depth16,0.971099853515625,0.5545135289108011,0.47595624129479247
image 58,depth17,0.9764404296875,0.5100768591642016,0.49292763706023024
image 58,depth18,0.9702606201171875,0.4618671061999435,0.4449203038993479
image 58,depth19,0.94439697265625,0.3333333333333333,0.3147989908854167
image 58,depth20,0.9375,0.3333333333333333,0.3125
image 59,depth1,0.981201171875,0.3333333333333333,0.3270670572916667
image 59,depth2,0.9651947021484375,0.3333333333333333,0.3217315673828125
image 59,depth3,0.9580078125,0.5893596218184625,0.439668189142943
image 59,depth4,0.9694976806640625,0.8863917792293975,0.7163069551067115
image 59,depth5,0.9713287353515625,0.9041904449640219,0.7679294030094378
image 59,depth6,0.9684600830078125,0.942208801940649,0.7605415578705911
image 59,depth7,0.9731903076171875,0.9127573503589576,0.8017740989207671
image 59,depth8,0.9488525390625,0.8371075628778238,0.6849578038440026
image 59,depth9,0.9344024658203125,0.7628020893657889,0.5795757162468144
image 59,depth10,0.9427490234375,0.8075171508386982,0.6246595223259445
image 59,depth11,0.9421844482421875,0.8147366970377132,0.6165496903357967
image 59,depth12,0.9564971923828125,0.7760950606403627,0.6318384800183917
image 59,depth13,0.9556884765625,0.8255968366512144,0.6539286720257819
image 59,depth14,0.9619903564453125,0.3333333333333333,0.3206634521484375
image 59,depth15,0.96783447265625,0.3333333333333333,0.3226114908854167
